file_name,Weight Quarter_1,Weight Density Quarter_1,Weight Quarter_2,Weight Density Quarter_2,Weight Quarter_3,Weight Density Quarter_3,Weight Quarter_4,Weight Density Quarter_4,Center of Gravity coordinate_x,Center of Gravity coordinate_y,Relative Center of Gravity coordinate_x,Relative Center of Gravity coordinate_y,Axial Moment of Inertia_x,Axial Moment of Inertia_y,Relative Axial Moment of Inertia_x,Relative Axial Moment of Inertia_y,Hypothesis
row1_38_preprocessed.bmp,386,0.5085638998682477,372,0.4901185770750988,389,0.5125164690382081,155,0.20421607378129117,29.50614439324117,20.178187403993856,0.43855606758832566,0.4261819423109746,155130.66052227383,458689.4508448545,3.201171405718246e-06,2.189165608221094e-06,"[('y', 0.9237038241884793), ('p', 0.8567527419617438), ('f', 0.8278534605878584), ('v', 0.8108649433832832), ('c', 0.7944974320546364), ('w', 0.7752204754199079), ('x', 0.7625200348317882), ('o', 0.7566020201061743), ('m', 0.7538760731519324), ('e', 0.7492278940974102), ('t', 0.7346656116681087), ('z', 0.7274112018300977), ('n', 0.727043233663595), ('h', 0.7211424607109106), ('k', 0.7070637171309582), ('b', 0.7051888105671397), ('u', 0.679880138400406), ('g', 0.6778437468037696), ('a', 0.6773531274114416), ('q', 0.673946569800931), ('d', 0.6711731597888312), ('s', 0.6691799924732633), ('r', 0.655325891637449), ('j', 0.5052556869656637), ('i', 0.4605394372697338), ('l', 0.46027214339127825)]"
row1_19_preprocessed.bmp,251,0.5432900432900433,314,0.6343434343434343,238,0.5,169,0.33137254901960783,30.318930041152264,13.732510288065845,0.4442262127447313,0.4547325102880659,30792.452674896802,341611.1316872429,8.030974921429623e-06,3.6375111384880425e-06,"[('f', 0.9383275849306151), ('p', 0.851595193466449), ('m', 0.8452064531406965), ('e', 0.844841381567516), ('w', 0.8444555440557809), ('v', 0.8297890957627496), ('y', 0.8206360595215257), ('n', 0.8188075144108209), ('o', 0.8184673463042798), ('t', 0.7949228644045848), ('x', 0.7949150103641365), ('c', 0.7945589778673798), ('z', 0.7810946453974763), ('g', 0.7504973508896333), ('q', 0.7352642776928466), ('a', 0.7349353947695623), ('u', 0.7293721113796506), ('h', 0.7232747577446921), ('s', 0.7192328490944262), ('d', 0.7171953990081354), ('b', 0.6985657360267797), ('k', 0.6737007771477422), ('r', 0.6194286272533224), ('j', 0.5481832942050119), ('i', 0.4952052248943158), ('l', 0.49487344423410934)]"
row1_27_preprocessed.bmp,390,0.5371900826446281,168,0.23140495867768596,528,0.7058823529411765,340,0.45454545454545453,37.53085553997195,15.284712482468443,0.5534978112116963,0.33220261587135913,205754.40673211752,432071.14235624124,4.318505789631306e-06,1.7587427304472046e-06,"[('k', 0.9680379210997385), ('b', 0.8519523893485749), ('h', 0.7932076071725646), ('c', 0.779797966898711), ('x', 0.728385639179091), ('p', 0.7226498883411508), ('o', 0.7222828727580585), ('u', 0.717790066659087), ('w', 0.707595778935191), ('v', 0.7013318257926604), ('a', 0.6944254085005876), ('e', 0.6900262659629873), ('y', 0.6882609837802973), ('s', 0.6867491207370521), ('t', 0.6795183052461825), ('m', 0.6723148465092345), ('n', 0.671089377079596), ('z', 0.6647946629096385), ('g', 0.6624142162434747), ('f', 0.6440520456220444), ('d', 0.6425713838583311), ('r', 0.6169240306098268), ('q', 0.6147222593312999), ('j', 0.4812803211432884), ('i', 0.4771419705346574), ('l', 0.47688616160997316)]"
row1_4_preprocessed.bmp,198,1.0,199,0.8614718614718615,204,1.0,204,0.8571428571428571,33.00745341614907,5.509316770186335,0.484961415396198,0.37577639751552794,9635.18012422359,299971.95527950313,4.3508660112159864e-05,7.2620867711952494e-06,"[('l', 0.8283622735152669), ('i', 0.8282937532492453), ('n', 0.5782749275369137), ('a', 0.574743445892615), ('e', 0.5746664913148916), ('u', 0.5714970777413434), ('s', 0.5688151995813321), ('g', 0.5659924244779352), ('m', 0.5558294146100757), ('z', 0.5516816070969971), ('o', 0.5473351657200216), ('w', 0.5384818739172752), ('p', 0.5366713700253309), ('h', 0.5333708620533599), ('b', 0.5327822035106528), ('t', 0.5324523198850278), ('c', 0.524415704077683), ('x', 0.5206007132762445), ('f', 0.5196894377368816), ('q', 0.5119075471185237), ('k', 0.5118463285041254), ('d', 0.5099875833418536), ('v', 0.504829787072627), ('r', 0.5001786930649427), ('y', 0.483365353974379), ('j', 0.47492862072592)]"
row1_33_preprocessed.bmp,249,0.5737327188940092,257,0.5526881720430108,169,0.37723214285714285,272,0.5666666666666667,30.874340021119323,14.610348468848997,0.48184419388902133,0.48608387388746416,31719.21858500515,310780.04646251485,9.249549652230268e-06,4.377069874418838e-06,"[('t', 0.9388381767681981), ('w', 0.873144385994472), ('q', 0.8688158321320225), ('m', 0.8580070646111071), ('o', 0.8578163874270218), ('x', 0.8460341537407337), ('s', 0.8457619404751138), ('g', 0.8427963757560044), ('n', 0.8403679772515349), ('v', 0.8335894302214057), ('e', 0.8160482065303493), ('c', 0.7982156520054211), ('u', 0.7908756867124677), ('h', 0.7754217938587528), ('a', 0.7683408407338082), ('f', 0.7558432486191923), ('d', 0.7474630223952863), ('b', 0.7333773287655035), ('p', 0.7311217696232193), ('y', 0.7260184832891108), ('z', 0.6954995713272477), ('k', 0.6671298863394917), ('j', 0.5814276130235467), ('r', 0.5542500360772598), ('i', 0.5053987629412722), ('l', 0.5050697983520134)]"
row1_12_preprocessed.bmp,345,0.6571428571428571,338,0.6145454545454545,275,0.5238095238095238,275,0.5,22.854825628548255,20.596918085969182,0.44601684956220927,0.46659328776117104,277382.66828872566,257123.01378751005,4.944256490762197e-06,4.455796232767806e-06,"[('n', 0.9789274104025067), ('m', 0.9368225563539945), ('e', 0.9230573008215539), ('w', 0.8702365744825397), ('o', 0.8627062653933736), ('t', 0.8492094313305698), ('g', 0.8243821929666973), ('s', 0.8205510176925044), ('x', 0.8016434609809355), ('f', 0.8001085327691322), ('p', 0.7997135160719832), ('c', 0.7982575682275365), ('v', 0.7954309669256276), ('u', 0.7937252438164154), ('a', 0.7835718540012119), ('h', 0.7678493263496623), ('q', 0.7665909954287466), ('z', 0.7458136471491889), ('b', 0.7334461132214454), ('y', 0.7303935961059803), ('d', 0.7114396696539061), ('k', 0.6778559250111258), ('r', 0.6013451768282232), ('j', 0.5571057850150208), ('i', 0.5369333203568014), ('l', 0.5365820168158645)]"
row1_28_preprocessed.bmp,557,0.6365714285714286,519,0.5931428571428572,400,0.45714285714285713,425,0.4857142857142857,22.351920042083115,34.19831667543398,0.43575347024659417,0.4811350242816519,998094.2346133764,402699.56549184525,1.8246465340476012e-06,2.7916993204435903e-06,"[('m', 0.977136421642137), ('n', 0.9269960333758608), ('t', 0.8942023246304582), ('w', 0.8932621155600173), ('e', 0.8837125734487205), ('o', 0.867552470362145), ('v', 0.8306696723024216), ('s', 0.8217550273036587), ('x', 0.8213602349959184), ('g', 0.820327199823791), ('f', 0.8128245988043886), ('c', 0.808144289151743), ('q', 0.8022737289219034), ('p', 0.7922572386792148), ('u', 0.7790851374479899), ('h', 0.772229754993412), ('a', 0.7653091765936094), ('y', 0.7504940544425981), ('b', 0.7307648815219051), ('z', 0.7275840014782022), ('d', 0.7174762044945852), ('k', 0.6730775587713135), ('r', 0.592633246021279), ('j', 0.5596154459496786), ('i', 0.5188843324359347), ('l', 0.5185569622059121)]"
row1_16_preprocessed.bmp,386,0.5085638998682477,372,0.4901185770750988,389,0.5125164690382081,155,0.20421607378129117,29.50614439324117,20.178187403993856,0.43855606758832566,0.4261819423109746,155130.66052227383,458689.4508448545,3.201171405718246e-06,2.189165608221094e-06,"[('y', 0.9237038241884793), ('p', 0.8567527419617438), ('f', 0.8278534605878584), ('v', 0.8108649433832832), ('c', 0.7944974320546364), ('w', 0.7752204754199079), ('x', 0.7625200348317882), ('o', 0.7566020201061743), ('m', 0.7538760731519324), ('e', 0.7492278940974102), ('t', 0.7346656116681087), ('z', 0.7274112018300977), ('n', 0.727043233663595), ('h', 0.7211424607109106), ('k', 0.7070637171309582), ('b', 0.7051888105671397), ('u', 0.679880138400406), ('g', 0.6778437468037696), ('a', 0.6773531274114416), ('q', 0.673946569800931), ('d', 0.6711731597888312), ('s', 0.6691799924732633), ('r', 0.655325891637449), ('j', 0.5052556869656637), ('i', 0.4605394372697338), ('l', 0.46027214339127825)]"
row1_37_preprocessed.bmp,366,0.5545454545454546,392,0.5656565656565656,397,0.5838235294117647,442,0.6190476190476191,35.134627426424544,17.262366938008768,0.5171913246427962,0.4065591734502192,202773.06825297498,551164.055103318,4.656054270068396e-06,2.287615471702826e-06,"[('u', 0.8946437031753859), ('a', 0.8776089982771573), ('o', 0.8679071722744839), ('g', 0.8631135948421911), ('e', 0.851870455420927), ('w', 0.8358445553089634), ('n', 0.8344845003241869), ('s', 0.829276741887159), ('x', 0.8174936220000527), ('m', 0.807177801315305), ('t', 0.8034412059723236), ('c', 0.7991586308440118), ('h', 0.7800739481789255), ('b', 0.7689572225959364), ('v', 0.762569084588071), ('d', 0.7547544679600812), ('z', 0.7540142183392193), ('p', 0.7460227640922539), ('q', 0.7415158894078125), ('f', 0.7244591626112178), ('k', 0.7113119261250384), ('y', 0.6909361597836302), ('j', 0.5768236305801827), ('r', 0.5688862183251125), ('i', 0.5436909103163367), ('l', 0.5432515528703095)]"
row1_23_preprocessed.bmp,295,0.8428571428571429,162,0.432,275,0.7857142857142857,0,0.0,20.565573770491802,8.930327868852459,0.3992974238875878,0.2832259953161592,40355.44672131142,152209.85245901602,9.781485741018693e-06,4.247480555934582e-06,"[('r', 0.9706160808994312), ('p', 0.6890021399484841), ('y', 0.6368929467631431), ('f', 0.6261145521245952), ('k', 0.6224897386195284), ('c', 0.6154435716486037), ('e', 0.6076747650094922), ('h', 0.6053806861950212), ('m', 0.6046778131331164), ('b', 0.603540697271026), ('n', 0.5994339845982567), ('z', 0.5947981235489784), ('v', 0.5945685400608889), ('w', 0.5944081921709445), ('o', 0.5902488848308793), ('x', 0.5784468874789334), ('t', 0.576317781953024), ('s', 0.5607534638288575), ('u', 0.5582866692763403), ('a', 0.5541295192072302), ('g', 0.5456945657932082), ('q', 0.52609777667178), ('d', 0.5191847484650184), ('i', 0.4560246396710204), ('l', 0.4559378905043119), ('j', 0.4173688409794593)]"
